mp_id,full_name,club,mandate_status,district_number,okreg_nazwa,emails,image_url,wybrany_dnia,lista,liczba_glosow,slubowanie,staz_parlamentarny,data_urodzenia,miejsce_urodzenia,wyksztalcenie,ukonczona_szkola,zawod
273,Dorota Olko,Lewica,aktywny,19,Warszawa,Dorota.Olko@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/F96DB61749B965ABC1258A51003B9FFD/$File/273.jpg,,Nowa Lewica,44188,13-11-2023,brak,13-01-1988,Siedlce,wyższe,"Uniwersytet Warszawski, Wydział Filozofii i Socjologii (w ramach Międzywydziałowych Indywidualnych Studiów Humanistycznych), Socjologia - magister (2011) | Uniwersytet Warszawski, Wydział Dziennikarstwa i Nauk Politycznych (w ramach Międzywydziałowych Indywidualnych Studiów Humanistycznych), Dziennikarstwo i Komunikacja Społeczna - magister (2012) | Uniwersytet Warszawski, Filologia Polska - redakcja językowa tekstu (2012) - studia podyplomowe | Uniwersytet Warszawski - Instytut Socjologii, Socjologia (2016) - studia doktoranckie | Uniwersytet Warszawski - Instytut Socjologii, Socjologia - doktor (2023)",socjolog
274,Paweł Olszewski,KO,aktywny,4,Bydgoszcz,Pawel.Olszewski@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/C6BF98403DC0F5C7C1258A51003BA002/$File/274.jpg,15-10-2023,Koalicja Obywatelska PO .N IPL ZIELONI,35289,13-11-2023,"poseł na Sejm RP V, VI, VII, VIII i IX kadencji",11-12-1979,Bydgoszcz,wyższe,"Uniwersytet im. Adama Mickiewicza w Poznaniu, Wydział Prawa i Administracji, Zarządzanie i Marketing - magister (2003)",ekonomista
275,Mirosław Adam Orliński,PSL-TD,aktywny,16,Płock,Miroslaw.Orlinski@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/5A953B7D01F982E1C1258A51003BA005/$File/275.jpg,15-10-2023,Trzecia Droga Polska 2050 Szymona Hołowni - Polskie Stronnictwo Ludowe,9066,13-11-2023,brak,21-07-1986,Warszawa,wyższe,"Uniwersytet Warszawski, Wydział Prawa i Administracji, Prawo - magister (2010) | Uniwersytet Warszawski, Nauki Prawne (2017) - studia doktoranckie",prawnik
276,Łukasz Osmalak,Polska2050-TD,aktywny,30,Bielsko-Biała,Lukasz.Osmalak@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/00850794576C084EC1258A51003BA009/$File/276.jpg,15-10-2023,Trzecia Droga Polska 2050 Szymona Hołowni - Polskie Stronnictwo Ludowe,19616,13-11-2023,brak,17-06-1977,Mikołów,wyższe,"Wyższa Szkoła Informatyki i Zarządzania w Bielsku-Białej, Wydział Informatyki, Zarządzanie Sieciami - inżynier (2000)",inżynier informatyk
277,Katarzyna Osos,KO,aktywny,8,Zielona Góra,Katarzyna.Osos@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/763B5BED5B744BCEC1258A51003BA010/$File/277.jpg,,Koalicja Obywatelska PO .N IPL ZIELONI,11832,13-11-2023,poseł na Sejm RP VIII i IX kadencji,17-11-1980,Świebodzin,wyższe,"Wyższa Szkoła Handlu i Prawa w Warszawie, Wydział Prawa, Prawo - magister (2004)",radca prawny
278,Jacek Osuch,PiS,aktywny,13,Kraków,Jacek.Osuch@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/E0C27F628A2AC43CC1258A51003BA014/$File/278.jpg,15-10-2023,Prawo i Sprawiedliwość,10386,13-11-2023,"poseł na Sejm RP VI, VII, VIII i IX kadencji",28-08-1958,Olkusz,wyższe,"Akademia Górniczo-Hutnicza w Krakowie, Wydział Mechaniczny, Budowa Maszyn - inżynier (1988)",inżynier mechanik
279,Jacek Ozdoba,PiS,wygasl,16,Płock,,https://orka.sejm.gov.pl/Poslowie10.nsf/0/1566CBD0B98725D9C1258A51003BA019/$File/279.jpg,15-10-2023,Prawo i Sprawiedliwość,19637,13-11-2023,poseł na Sejm RP IX kadencji,22-09-1991,Warszawa,wyższe,"Uniwersytet Kardynała Stefana Wyszyńskiego w Warszawie, Wydział Prawa i Administracji, Prawo - magister (2016)",prawnik
280,Teresa Pamuła,PiS,aktywny,22,Krosno,Teresa.Pamula@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/CA8D829A4AB276B1C1258A51003BA01C/$File/280.jpg,,Prawo i Sprawiedliwość,15273,13-11-2023,poseł na Sejm RP IX kadencji,28-12-1956,Lubaczów,wyższe,"Akademia Rolnicza w Krakowie, Wydział Ogrodnictwa, Ogrodnictwo - magister inżynier (1980) | Wyższa Szkoła Społeczno-Gospodarcza w Tyczynie, Wspólna Polityka Rolna i Funduszy Wspólnoty (2004) - studia podyplomowe",inżynier ogrodnik
281,Paweł Papke,KO,aktywny,35,Olsztyn,Pawel.Papke@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/131681086D16CC5FC1258A51003BA022/$File/281.jpg,15-10-2023,Koalicja Obywatelska PO .N IPL ZIELONI,27023,13-11-2023,"poseł na Sejm RP VII, VIII i IX kadencji",13-02-1977,Starogard Gdański,wyższe,"Uniwersytet Warmińsko-Mazurski w Olsztynie, Wydział Humanistyczny, Stosunki Międzynarodowe - licencjat (2007) | Olsztyńska Szkoła Wyższa, Wydział Pedagogiczny, Pedagogika Promocji Zdrowia - magister (2012) | Collegium Humanum - Szkoła Główna Menedżerska Warszawa, Executive Master of Business Administration (MBA) (2019) - studia podyplomowe",pedagog
282,Urszula Pasławska,PSL-TD,aktywny,35,Olsztyn,Urszula.Paslawska@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/91153D4BB38B1894C1258A51003BA027/$File/282.jpg,,Trzecia Droga Polska 2050 Szymona Hołowni - Polskie Stronnictwo Ludowe,26992,13-11-2023,"poseł na Sejm RP VII, VIII i IX kadencji",28-01-1977,Biskupiec,wyższe,"Uniwersytet Gdański, Wydział Prawa, Prawo - magister (2001) | Uniwersytet Warmińsko-Mazurski w Olsztynie, Integracja Europejska (2004) - studia podyplomowe",prawnik
283,Krzysztof Paszyk,PSL-TD,aktywny,38,Piła,Krzysztof.Paszyk@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/14D1CD1EC793E294C1258A51003BA02C/$File/283.jpg,15-10-2023,Trzecia Droga Polska 2050 Szymona Hołowni - Polskie Stronnictwo Ludowe,27642,13-11-2023,poseł na Sejm RP VIII i IX kadencji,10-04-1979,Poznań,wyższe,"Uniwersytet im. Adama Mickiewicza w Poznaniu, Wydział Prawa i Administracji, Prawo - magister (2005)",prawnik
284,Karolina Pawliczak,KO,aktywny,36,Kalisz,Karolina.Pawliczak@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/575707AEDEC28F1BC1258A51003BA030/$File/284.jpg,,Koalicja Obywatelska PO .N IPL ZIELONI,21819,13-11-2023,poseł na Sejm RP IX kadencji,25-06-1976,Godziesze Wielkie,wyższe,"Uniwersytet im. Adama Mickiewicza w Poznaniu, Wydział Prawa, Prawo - magister (2000) | Uniwersytet Łódzki, Zarządzanie Jednostkami Samorządu Terytorialnego (2001) - studia podyplomowe | Uniwersytet Ekonomiczny w Poznaniu, Gospodarka Nieruchomościami (2006) - studia podyplomowe",prawnik
285,Bartłomiej Pejo,Konfederacja,aktywny,6,Lublin,Bartlomiej.Pejo@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/88826A5EB07A7628C1258A51003BA035/$File/285.jpg,15-10-2023,Konfederacja Wolność i Niepodległość,26037,13-11-2023,brak,04-04-1985,Świdnik,wyższe,"Szkoła Główna Służby Pożarniczej, Inżynieria Bezpieczeństwa, Inżynieria Bezpieczeństwa - inżynier (2009) | Politechnika Warszawska, Bezpieczeństwo, Higiena Pracy i Ergonomia (2010) - studia podyplomowe | Szkoła Główna Służby Pożarniczej, Inżynieria Bezpieczeństwa, Inżynieria Bezpieczeństwa - magister inżynier (2011) | Szkoła Główna Handlowa w Warszawie, Menadżer Samorządu Terytorialnego (2018) - studia podyplomowe","inżynier, menedżer"
286,Ryszard Petru,Polska2050-TD,aktywny,19,Warszawa,Ryszard.Petru@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/92C7176690BF223AC1258A51003BA038/$File/286.jpg,15-10-2023,Trzecia Droga Polska 2050 Szymona Hołowni - Polskie Stronnictwo Ludowe,24192,13-11-2023,poseł na Sejm RP VIII kadencji,06-07-1972,Wrocław,wyższe,"Szkoła Główna Handlowa w Warszawie, Międzynarodowe Stosunki Gospodarcze, Międzynarodowe Stosunki Gospodarcze - magister (1997)",doradca finansowy
287,Małgorzata Pępek,KO,aktywny,27,Bielsko-Biała,Malgorzata.Pepek@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/EA8FB13E619DE9FAC1258A51003BA03D/$File/287.jpg,,Koalicja Obywatelska PO .N IPL ZIELONI,22184,13-11-2023,"poseł na Sejm RP VII, VIII i IX kadencji",10-06-1961,Kocierz Rydzwałdzki,wyższe,"Krakowska Szkoła Wyższa, Wydział Prawa i Administracji, Administracja - magister (2006) | Polska Akademia Nauk, Zarządzanie w Polskiej Administracji Publicznej a Wspólna Europejska Przestrzeń Administracyjna (2010) - studia podyplomowe",ekonomista
288,Bolesław Piecha,PiS,aktywny,30,Bielsko-Biała,Boleslaw.Piecha@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/0EB085916310CABEC1258A51003BA043/$File/288.jpg,15-10-2023,Prawo i Sprawiedliwość,32427,13-11-2023,"poseł na Sejm RP IV, V, VI, VII i IX kadencji, senator VIII kadencji",19-09-1954,Rybnik,wyższe,"Śląska Akademia Medyczna, Wydział Lekarski - lekarz (1983) | Akademia Ekonomiczna im. K. Adamieckiego w Katowicach, Zarządzanie w Ochronie Zdrowia (2000) - studia podyplomowe",lekarz
289,Grzegorz Piechowiak,PiS,aktywny,38,Piła,Grzegorz.Piechowiak@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/E4BFFC29660D5703C1258A51003BA048/$File/289.jpg,15-10-2023,Prawo i Sprawiedliwość,13122,13-11-2023,"poseł na Sejm RP III, VIII i IX kadencji",14-09-1963,Piła,wyższe,"Akademia Teologii Katolickiej w Warszawie, Wydział Kościelnych Nauk Historycznych i Społecznych, Socjologia Religii - magister (1991) | Wyższa Szkoła Zawodowa Kadry dla Europy w Poznaniu, Zarządzanie Przedsiębiorstwem w Kryzysie i Upadłości (2010) - studia podyplomowe","nadzorca sądowy, syndyk, zarządca nieruchomości"
290,Anna Pieczarka,PiS,aktywny,15,Tarnów,Anna.Pieczarka@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/DD9B16C949789A8CC1258A51003BA04E/$File/290.jpg,,Prawo i Sprawiedliwość,71199,13-11-2023,poseł na Sejm RP IX kadencji,15-02-1977,Tuchów,wyższe,"Małopolska Wyższa Szkoła Ekonomiczna, Wydział Zarządzania i Turystyki, Zarządzanie - magister (2009) | Uniwersytet Ekonomiczny w Krakowie - Krakowska Szkoła Biznesu, MBA (2021) - studia podyplomowe","polityk, pracownik administracji samorządowej"
291,Katarzyna Maria Piekarska,KO,aktywny,19,Warszawa,Katarzyna.Piekarska@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/9D0260DC3FA19035C1258A51003BA051/$File/291.jpg,,Koalicja Obywatelska PO .N IPL ZIELONI,8748,13-11-2023,"poseł na Sejm RP II, III, IV, V i IX kadencji",23-09-1967,Warszawa,wyższe,"Uniwersytet Warszawski, Wydział Prawa i Administracji, Prawo - magister (1992) | Aplikacja Sędziowska i Radcowska (1995)",radca prawny
292,Norbert Pietrykowski,Polska2050-TD,aktywny,4,Bydgoszcz,Norbert.Pietrykowski@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/6E6D72569C5A6378C1258A51003BA057/$File/292.jpg,15-10-2023,Trzecia Droga Polska 2050 Szymona Hołowni - Polskie Stronnictwo Ludowe,27596,13-11-2023,brak,17-12-1973,Mława,wyższe,"Akademia Medyczna w Bydgoszczy, Wydział Farmaceutyczny, Analityka Medyczna - magister farmacji (1998) | Uniwersytet Mikołaja Kopernika w Toruniu, doktor nauk humanistycznych - doktor (2011)",analityk medyczny
293,Lucjan Marek Pietrzczyk,KO,aktywny,33,Kielce,Lucjan.Pietrzczyk@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/A4CBF497258F25CAC1258A51003BA05C/$File/293.jpg,15-10-2023,Koalicja Obywatelska PO .N IPL ZIELONI,5826,13-11-2023,poseł na Sejm RP VII kadencji,24-03-1960,Bilcza,wyższe,"Wyższa Szkoła Pedagogiczna w Kielcach, Wydział Pedagogiczny, Pedagogika Opiekuńczo-Wychowawcza - magister (1984) | Wyższa Szkoła Pedagogiczna w Kielcach, Wychowanie Fizyczne (1986) - studia podyplomowe | Instytut Badań Edukacyjnych Ministerstwa Edukacji Narodowej w Warszawie, Zarządzanie Oświatą (2001) - studia podyplomowe | Wyższa Szkoła Administracji Publicznej w Kielcach, Samorząd i Administracja (2006) - studia podyplomowe",nauczyciel
294,Dariusz Piontkowski,PiS,aktywny,24,Białystok,Dariusz.Piontkowski@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/E9B44357B02F2A41C1258A51003BA061/$File/294.jpg,15-10-2023,Prawo i Sprawiedliwość,22147,13-11-2023,"poseł na Sejm RP VII, VIII i IX kadencji",17-12-1964,Sielc,wyższe,"Filia Uniwersytetu Warszawskiego w Białymstoku, Wydział Humanistyczny, Historia - magister (1988) | Wyższa Szkoła Finansów i Zarządzania w Białymstoku, Studia Menadżerskie (1996) - studia podyplomowe | Uniwersytet w Białymstoku, Zarządzanie Oświatą (2000) - studia podyplomowe | Wyższa Szkoła Administracji Publicznej w Białymstoku, Zarządzanie Kadrami w Administracji Publicznej (2001) - studia podyplomowe",nauczyciel
295,Kazimierz Plocke,KO,aktywny,26,Słupsk,Kazimierz.Plocke@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/C3B1F10475CC4894C1258A51003BA066/$File/295.jpg,15-10-2023,Koalicja Obywatelska PO .N IPL ZIELONI,8154,13-11-2023,"poseł na Sejm RP IV, V, VI, VII, VIII i IX kadencji",03-05-1958,Domatowo,wyższe,"Akademia Rolniczo-Techniczna w Olsztynie, Wydział Rolniczy, Ekonomia Rolnictwa - magister inżynier (1982) | Akademia Rolniczo-Techniczna w Olsztynie, Ekonomia Rolnictwa - doktor (1988)",inżynier rolnik
296,Grzegorz Płaczek,Konfederacja,aktywny,31,Katowice,Grzegorz.Placzek@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/AA0B655778226688C1258A51003BA06A/$File/296.jpg,15-10-2023,Konfederacja Wolność i Niepodległość,18648,13-11-2023,brak,13-05-1978,Tarnowskie Góry,wyższe,"Górnośląska Wyższa Szkoła Handlowa, Wydział Zarządzania, Zarządzanie i Marketing - magister (2002)","nauczyciel, przedsiębiorca prywatny"
297,Kacper Płażyński,PiS,aktywny,25,Gdańsk,Kacper.Plazynski@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/D531AF79EB3729AEC1258A51003BA06F/$File/297.jpg,15-10-2023,Prawo i Sprawiedliwość,100445,13-11-2023,poseł na Sejm RP IX kadencji,10-05-1989,Gdańsk,wyższe,"Uniwersytet Gdański, Wydział Prawa i Administracji, Prawo - magister (2013) | Pomorska Izba Adwokacka, Aplikacja Adwokacka (2016)",adwokat
298,Szymon Pogoda,PiS,aktywny,1,Legnica,Szymon.Pogoda@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/3A8F345CB8F47127C1258A51003BA075/$File/298.jpg,15-10-2023,Prawo i Sprawiedliwość,10117,13-11-2023,poseł na Sejm RP IX kadencji,22-09-1985,Bolesławiec,wyższe,"Uniwersytet Wrocławski, Wydział Nauk Społecznych, Stosunki Międzynarodowe - licencjat (2010) | Wyższa Szkoła Bankowa we Wrocławiu, Wydział Finansów i Zarządzania, Zarządzanie - magister (2018) | Wyższa Szkoła Bankowa we Wrocławiu, Controlilng (2019) - studia podyplomowe | Wyższa Szkoła Biznesu - National Louis University, Master of Business Administration (2022) - studia podyplomowe",menedżer
299,Jerzy Polaczek,PiS,aktywny,31,Katowice,Jerzy.Polaczek@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/F847793C0C4B0E3AC1258A51003BA078/$File/299.jpg,15-10-2023,Prawo i Sprawiedliwość,5996,13-11-2023,"poseł na Sejm RP III, IV, V, VI, VII, VIII i IX kadencji",24-08-1961,Piekary Śląskie,wyższe,"Uniwersytet Śląski, Wydział Prawa, Prawo - magister (1986)",prawnik
300,Elżbieta Anna Polak,KO,aktywny,8,Zielona Góra,Elzbieta.Polak@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/517331ADCE6735D3C1258A51003BA07B/$File/300.jpg,,Koalicja Obywatelska PO .N IPL ZIELONI,78475,13-11-2023,brak,06-09-1959,Przemków,wyższe,"Uniwersytet Wrocławski, Wydział Prawa i Administracji, Administracja - magister (1990) | Uniwersytet Wrocławski, Zarządzanie Jednostkami Gospodarczymi (1995) - studia podyplomowe",administratywista
301,Piotr Polak,PiS,aktywny,11,Sieradz,Piotr.Polak@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/50F4768E691B2C46C1258A51003BA080/$File/301.jpg,15-10-2023,Prawo i Sprawiedliwość,23845,13-11-2023,"poseł na Sejm RP VI, VII, VIII i IX kadencji",20-01-1961,Grabinka,wyższe,"Akademia Rolnicza w Poznaniu, Wydział Rolny, Mechanizacja Rolnictwa - magister inżynier (1985)",inżynier mechanizacji rolnictwa
302,Agnieszka Pomaska,KO,aktywny,25,Gdańsk,Agnieszka.Pomaska@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/96BA822CA78CCBB9C1258A51003BA082/$File/302.jpg,,Koalicja Obywatelska PO .N IPL ZIELONI,83590,13-11-2023,"poseł na Sejm RP VI, VII, VIII i IX kadencji",08-01-1980,Gdynia,wyższe,"Uniwersytet Gdański, Wydział Nauk Politycznych, Politologia - magister (2005)",politolog
303,Marcin Porzucek,PiS,aktywny,38,Piła,Marcin.Porzucek@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/CCB24D62CC35B40CC1258A51003BA088/$File/303.jpg,15-10-2023,Prawo i Sprawiedliwość,28293,13-11-2023,poseł na Sejm RP VIII i IX kadencji,20-07-1984,Kielce,wyższe,"Wyższa Szkoła Stosunków Międzynarodowych i Amerykanistyki w Warszawie, Wydział Dyplomacji i Stosunków Międzynarodowych, Politologia - licencjat (2013) | Collegium Civitas (Warszawa), Bezpieczeństwo Energetyczne Polski (2014) - studia podyplomowe",politolog
304,Jacek Protas,KO,wygasl,34,Elbląg,,https://orka.sejm.gov.pl/Poslowie10.nsf/0/657B209C8D3E7EB4C1258A51003BA08D/$File/304.jpg,15-10-2023,Koalicja Obywatelska PO .N IPL ZIELONI,35745,13-11-2023,poseł na Sejm RP VIII i IX kadencji,15-01-1964,Lidzbark Warmiński,wyższe,"Akademia Wychowania Fizycznego w Gdańsku, Wydział Trenerski, Koszykówka - magister (1987) | Uniwersytet Warmińsko-Mazurski w Olsztynie, Zarządzanie w Administracji Publicznej (2001) - studia podyplomowe | Akademia Finansów i Biznesu Vistula w Warszawie, MBA - Dyplomacja (2023) - studia podyplomowe","nauczyciel, trener"
305,Marcin Przydacz,PiS,wygasl,11,Sieradz,,https://orka.sejm.gov.pl/Poslowie10.nsf/0/13D03F41ABADA2DDC1258A51003BA091/$File/305.jpg,15-10-2023,Prawo i Sprawiedliwość,30423,13-11-2023,brak,26-06-1985,Wieluń,wyższe,"Uniwersytet Jagielloński w Krakowie, Wydział Prawa i Administracji, Prawo - magister (2010) | Uniwersytet Warszawski, Szkoła Prawa Włoskiego i Europejskiego (2012) - studia podyplomowe | Okręgowa Izba Adwokacka w Krakowie, Aplikacja Adwokacka (2014)",adwokat
306,Grzegorz Puda,PiS,aktywny,27,Bielsko-Biała,Grzegorz.Puda@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/40EA7FA7C515E80FC1258A51003BA094/$File/306.jpg,15-10-2023,Prawo i Sprawiedliwość,33728,13-11-2023,poseł na Sejm RP VIII i IX kadencji,13-07-1982,Bielsko-Biała,wyższe,"Akademia Rolnicza w Krakowie, Wydział Hodowli i Biologii, Zootechnika - magister inżynier (2006)",menedżer marketingu
307,Michał Pyrzyk,PSL-TD,aktywny,37,Konin,Michal.Pyrzyk@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/B634A17995A6C47EC1258A51003BA099/$File/307.jpg,15-10-2023,Trzecia Droga Polska 2050 Szymona Hołowni - Polskie Stronnictwo Ludowe,10304,13-11-2023,brak,07-06-1975,Poznań,wyższe,"Uniwersytet im. Adama Mickiewicza w Poznaniu, Wydział Prawa i Administracji, Prawo - magister (1999) | Polska Akademia Nauk, Instytut Nauk Prawnych, Studium Europejskiego Prawa Samorządowego, Prawo Europejskie, Stosunki Międzynarodowe i Prawne (2004) - studia podyplomowe",prawnik
308,Renata Rak,KO,aktywny,40,Koszalin,Renata.Rak@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/622747F112B01A31C1258A51003BA09B/$File/308.jpg,,Koalicja Obywatelska PO .N IPL ZIELONI,9170,13-11-2023,brak,29-06-1973,Szczecinek,wyższe,"Uniwersytet Gdański, Wydział Biologii, Geografii i Oceanologii, Biologia - magister (1997)",nauczyciel
309,Ireneusz Raś,PSL-TD,aktywny,13,Kraków,Ireneusz.Ras@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/EDEDBACE97EB6EBFC1258A51003BA09F/$File/309.jpg,15-10-2023,Trzecia Droga Polska 2050 Szymona Hołowni - Polskie Stronnictwo Ludowe,27518,13-11-2023,"poseł na Sejm RP V, VI, VII, VIII i IX kadencji",30-09-1972,Proszowice,wyższe,"Uniwersytet Papieski im. Jana Pawła II w Krakowie, Wydział Historii, Historia - magister (1998)",urzędnik samorządowy
310,Zbigniew Rau,PiS,aktywny,9,Łódź,Zbigniew.Rau@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/A415A9182AE9FDF7C1258A51003BA0A2/$File/310.jpg,15-10-2023,Prawo i Sprawiedliwość,32387,13-11-2023,"poseł na Sejm RP IX kadencji, senator VI kadencji",03-02-1955,Łódź,wyższe,"Uniwersytet Łódzki, Wydział Prawa i Administracji, Prawo - magister (1977) | Wydział Prawa i Administracji Uniwersytetu Łódzkiego, Nauki Prawne (1982) - studia doktoranckie | Wydział Prawa i Administracji Uniwersytetu Łódzkiego, Nauki Prawne - doktor habilitowany (1996)",nauczyciel akademicki
311,Marcin Romanowski,PiS,aktywny,7,Chełm,Marcin.Romanowski@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/8D5BEAF6EF5EFCD9C1258A51003BA0A9/$File/311.jpg,15-10-2023,Prawo i Sprawiedliwość,17318,13-11-2023,brak,20-01-1976,Skrwilno,wyższe,"Uniwersytet Mikołaja Kopernika w Toruniu, Wydział Prawa i Administracji, Prawo - magister (2000) | Uniwersytet w Ratyzbonie, Magister Legum (LL. M.) (2022) - studia podyplomowe","nauczyciel akademicki, prawnik"
312,Bartosz Romowicz,Polska2050-TD,aktywny,22,Krosno,Bartosz.Romowicz@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/65BF0CF9DFB9F9B0C1258A51003BA0AF/$File/312.jpg,15-10-2023,Trzecia Droga Polska 2050 Szymona Hołowni - Polskie Stronnictwo Ludowe,21527,13-11-2023,brak,14-06-1988,Lesko,wyższe,"Katolicki Uniwersytet Lubelski Jana Pawła II, Wydział Zamiejscowy Nauk Ekonomicznych i Prawnych, Ekonomia - licencjat (2011) | Katolicki Uniwersytet Lubelski Jana Pawła II, Wydział Zamiejscowy Nauk Ekonomicznych i Prawnych, Prawo - magister (2013) | Uniwersytet Ekonomiczny w Krakowie, Finanse i Rachunkowość (2014) - studia podyplomowe | Wyższa Szkoła Biznesu National Louis University w Nowym Sączu, MBA (2021) - studia podyplomowe",adwokat
313,Monika Rosa,KO,aktywny,31,Katowice,Monika.Rosa@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/BD8F0A3D3C70BC7FC1258A51003BA0B2/$File/313.jpg,,Koalicja Obywatelska PO .N IPL ZIELONI,44857,13-11-2023,poseł na Sejm RP VIII i IX kadencji,24-04-1986,Czeladź,wyższe,"Uniwersytet Śląski, Wydział Nauk Społecznych, Politologia, Dziennikarstwo i Komunikacja Społeczne - magister (2010)",politolog
314,Wiesław Różyński,PSL-TD,aktywny,7,Chełm,Wieslaw.Rozynski@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/8CB86FE75AAE370DC1258A51003BA0B8/$File/314.jpg,15-10-2023,Trzecia Droga Polska 2050 Szymona Hołowni - Polskie Stronnictwo Ludowe,17237,13-11-2023,brak,26-06-1968,Biłgoraj,wyższe,"Uniwersytet Marii Curie-Skłodowskiej w Lublinie, Wydział Prawa i Administracji, Administracja - magister (2002) | Uniwersytet Marii Curie-Skłodowskiej w Lublinie, Organizacja Pomocy Społecznej (2005) - studia podyplomowe",pracownik administracji samorządowej
315,Urszula Rusecka,PiS,aktywny,15,Tarnów,Urszula.Rusecka@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/6B005B2C054BB77BC1258A51003BA0BB/$File/315.jpg,,Prawo i Sprawiedliwość,17080,13-11-2023,"poseł na Sejm RP VII, VIII i IX kadencji",11-09-1966,Kraków,wyższe,"Akademia Ekonomiczna w Krakowie, Wydział Ekonomiki Obrotu, Ekonomika i Organizacja Obrotu i Usług - magister (1990)","ekonomista, pracownik samorządowy"
316,Grzegorz Rusiecki,KO,wygasl,36,Kalisz,,https://orka.sejm.gov.pl/Poslowie10.nsf/0/6C64FE16EC07C203C1258A51003BA0C0/$File/316.jpg,15-10-2023,Koalicja Obywatelska PO .N IPL ZIELONI,22410,13-11-2023,poseł na Sejm RP IX kadencji,28-02-1983,Leszno,wyższe,"Uniwersytet im. Adama Mickiewicza w Poznaniu, Wydział Prawa i Administracji, Prawo - magister (2006)",prawnik
317,Jakub Rutnicki,KO,aktywny,38,Piła,Jakub.Rutnicki@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/B918A6ED9D1D1167C1258A51003BA0C5/$File/317.jpg,15-10-2023,Koalicja Obywatelska PO .N IPL ZIELONI,67069,13-11-2023,"poseł na Sejm RP V, VI, VII, VIII i IX kadencji",03-12-1978,Szamotuły,wyższe,"Uniwersytet im. Adama Mickiewicza w Poznaniu, Politologia, Marketing Polityczny i Samorządowość - magister (2002)",politolog
318,Paweł Rychlik,PiS,aktywny,11,Sieradz,Pawel.Rychlik@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/C2C655E3D3F4F9EAC1258A51003BA0C8/$File/318.jpg,15-10-2023,Prawo i Sprawiedliwość,27361,13-11-2023,poseł na Sejm RP VIII i IX kadencji,16-12-1986,Wieluń,wyższe,"Uniwersytet Medyczny w Poznaniu, Wydział Farmaceutyczny, Farmacja - magister (2013)",farmaceuta
